DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,GERENTE GENERAL,01/10/2013,31/08/2015,CREDICORP LTD.,"2 años, 6 meses, 7 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,30/03/2017,A la actualidad,CREDICORP LTD.,"6 años, 0 meses, 6 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,01/10/2013,30/03/2017,CREDICORP LTD.,"2 años, 6 meses, 7 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,CREDICORP LTD.,,24/06/2016,A la actualidad,CREDICORP LTD.,"4 años, 2 meses, 25 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,CREDICORP LTD.,GERENTE DE FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"1 años, 6 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,CCR INC.,PRESIDENTE DEL DIRECTORIO,03/10/2013,A la actualidad,CREDICORP LTD.,"1 años, 6 meses, 3 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,BANCO DE CREDITO DEL PERU,,24/06/2016,A la actualidad,CREDICORP LTD.,"4 años, 2 meses, 25 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,BANCO DE CREDITO DEL PERU,G.CENTRAL DE PLANEA.Y FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"1 años, 6 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"4 años, 0 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"1 años, 11 meses, 23 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,,24/06/2016,A la actualidad,CREDICORP LTD.,"4 años, 2 meses, 25 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,GERENTE GENERAL,01/10/2013,31/08/2015,CREDICORP LTD.,"1 años, 6 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,30/03/2017,A la actualidad,CREDICORP LTD.,"5 años, 0 meses, 0 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,24/03/2011,30/03/2012,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,01/10/2013,30/03/2017,CREDICORP LTD.,"1 años, 6 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,30/03/2012,21/03/2013,CREDICORP LTD.,,24/06/2016,A la actualidad,CREDICORP LTD.,"3 años, 3 meses, 3 días."
