"PRIMA AFP S.A.","Credicorp Capital Sociedad Titulizadora S.A.","[2009-04-22 / 2010-03-03]","[2009/4 - 2009/11]","ROMERO PAOLETTI DIONISIO","PRESIDENTE DEL DIRECTORIO","PRESIDENTE DEL DIRECTORIO","2005 Octubre","2009 Noviembre"
"PRIMA AFP S.A.","Credicorp Capital Sociedad Titulizadora S.A.","[2009-03-26 / 2009-04-22]","[2009/3 - 2009/4]","ROMERO PAOLETTI DIONISIO","PRESIDENTE DEL DIRECTORIO","VICEPRESIDENTE DEL DIRECTORIO","2005 Octubre","2009 Noviembre"
"PRIMA AFP S.A.","Credicorp Capital Sociedad Titulizadora S.A.","[2009-03-02 / 2009-03-26]","[2009/3 - 2009/3]","ROMERO PAOLETTI DIONISIO",DIRECTOR,"VICEPRESIDENTE DEL DIRECTORIO","2005 Octubre","2009 Noviembre"
"PRIMA AFP S.A.","Credicorp Capital Sociedad Titulizadora S.A.","[2008-03-27 / 2009-03-02]","[2008/3 - 2009/3]","ROMERO SEMINARIO DIONISIO FERNANDO","PRESIDENTE DEL DIRECTORIO","PRESIDENTE DEL DIRECTORIO","2005 Octubre","2009 Noviembre"
"PRIMA AFP S.A.","Credicorp Capital Sociedad Titulizadora S.A.","[2008-02-29 / 2008-03-27]","[2008/2 - 2008/3]","ROMERO SEMINARIO DIONISIO FERNANDO",DIRECTOR,"PRESIDENTE DEL DIRECTORIO","2005 Octubre","2009 Noviembre"
"AFP UNION VIDA S A","Credicorp LTD.","[2006-08-25 / 2015-04-22]","[2006/8 - 2006/11]","FERRARI QUIÑE MARIO ALBERTO",DIRECTOR,,"2000 Enero","2006 Noviembre"
"PRIMA AFP S.A.","Credicorp LTD.","[2013-10-01 / 2017-11-29]","[2015/12 - 2016/1]","DASSO MONTERO FERNANDO",DIRECTOR,"GERENTE DE FINANZAS","2015 Diciembre","2016 Enero"
"PRIMA AFP S.A.","Credicorp LTD.","[2007-03-28 / 2008-02-29]","[2007/3 - 2008/2]","BAYLY LLONA WALTER","VICEPRESIDENTE DEL DIRECTORIO","GTE. FINANZAS Y CONTABILIDAD","2005 Octubre","2009 Diciembre"
"PRIMA AFP S.A.","Credicorp LTD.","[2005-11-24 / 2007-03-28]","[2005/11 - 2007/3]","BAYLY LLONA WALTER",DIRECTOR,"GTE. FINANZAS Y CONTABILIDAD","2005 Octubre","2009 Diciembre"
"PRIMA AFP S.A.","Credicorp LTD.","[2008-03-28 / 2013-09-30]","[2008/3 - 2009/12]","CORREA MALACHOWSKI ALVARO",DIRECTOR,"GTE. FINANZAS Y CONTABILIDAD","2005 Octubre","2009 Diciembre"
"PRIMA AFP S.A.","Credicorp LTD.","[2009-03-31 / 2010-03-03]","[2009/3 - 2009/12]","ROMERO PAOLETTI DIONISIO","PRESIDENTE DEL DIRECTORIO","PRESIDENTE DEL DIRECTORIO","2005 Octubre","2009 Diciembre"
"PRIMA AFP S.A.","Credicorp LTD.","[2009-03-31 / 2010-03-03]","[2009/3 - 2009/12]","ROMERO PAOLETTI DIONISIO","PRESIDENTE DEL DIRECTORIO","PRESIDENTE EJECUTIVO","2005 Octubre","2009 Diciembre"
