companyId,shareholderId,participation,beginDate,endDate,serie
24,77,17.71,2017-01-30,2017-02-03,
24,77,17.65,2017-02-03,2017-02-06,
24,77,17.64,2017-02-06,2017-02-07,
24,77,17.63,2017-02-07,2017-02-10,
24,77,17.64,2017-02-10,2017-02-21,
24,77,17.51,2017-02-21,2017-02-24,
24,77,17.4,2017-02-24,2017-02-27,
24,77,17.36,2017-02-27,2017-02-28,
24,77,17.35,2017-02-28,2017-03-07,
24,77,17.29,2017-03-07,2017-03-08,
24,77,17.26,2017-03-08,2017-03-09,
24,77,17.05,2017-03-09,2017-03-13,
24,77,17.04,2017-03-13,2017-03-14,
24,77,17.03,2017-03-14,2017-03-21,
24,77,17.02,2017-03-21,2017-03-24,
24,77,17.01,2017-03-24,2017-03-27,
24,77,17,2017-03-27,2017-03-28,
24,77,16.97,2017-03-28,2017-03-29,
24,77,19.96,2017-03-29,2017-03-29,
